fpid,vid,bundle,title,link,created,changed,language
1466,6141,spotlight,Diversity Events,0,1439492313,1439492313,und
1471,11131,spotlight,Diversity Events,0,1439493038,1476140046,und
1541,10881,spotlight,International Conferences,0,1442361458,1473463222,und
1546,11446,spotlight,Global Health Nursing Speakers,0,1442361851,1479331995,und
1561,11121,spotlight,DIVAâ„¢ Events,0,1443730256,1476139589,und
1581,7256,spotlight,Nurse-Midwifery 40th Anniversary Celebration,0,1445467021,1445467956,und
1591,10886,spotlight,Global Health Nursing Photo Gallery,0,1446056224,1473463598,und
1631,7591,spotlight,IHA 30th Anniversary Celebration,0,1447887936,1447950351,und
1811,8331,spotlight,Global is Local Event Slideshow,0,1453393226,1453393226,und
1816,8336,spotlight,Global is Local Event Slideshow,0,1453393455,1453393455,und
1831,8721,spotlight,School of Nursing and BABNA Multicultural Nursing Mixer,0,1455837593,1455908033,und
1846,9126,spotlight,Nursing Gala Celebrates Linda Sarna as Jane Norbeck Distinguished Alumni,0,1463070581,1463070767,und
1861,13096,spotlight,Helen Martin Award for Excellence in Clinical Precepting Celebration,0,1463700568,1497052619,und
1866,9291,spotlight,School of Nursing Excellence in Teaching Awards,0,1464734203,1464737596,und
1871,9356,spotlight,2016 MEPN White Coat Ceremony,0,1464993732,1464997362,und
1876,9411,spotlight,36th Nahm Lecture,0,1465330181,1465336328,und
1881,9701,spotlight,Group of students pose at 2016 commencement ceremony.,0,1465586489,1466014451,und
1886,9716,spotlight,Photos from Hamza Alduraidi,0,1466016110,1466016785,und
1891,9856,spotlight,MEPN 2016 Pinning Ceremony,0,1466201397,1466526510,und
1896,9946,spotlight,MEPN Pinning Ceremony,0,1466788243,1466802461,und
1966,10566,spotlight,Palliative Care Minor Graduates,0,1468356390,1469064293,und
2016,10966,spotlight,Student Orientation Slideshow,0,1475786935,1475787785,und
2021,11081,spotlight,DIVA Welcome Back Reception Slideshow,0,1475791132,1476137213,und
2026,11186,spotlight,Transgender Parenting and Chestfeeding Event,0,1476985524,1476985524,und
2031,11201,spotlight,Slideshow,0,1476986175,1476986425,und
2036,11221,spotlight,Slideshow,0,1476988867,1476989260,und
2121,11851,spotlight,Photographs from Midwifery Skills Lab,0,1485471093,1485471217,und
2181,12286,spotlight,Empty,0,1492796953,1492797088,und
2291,12671,spotlight,Preceptor Portal,0,1495576495,1495646618,und
2301,12841,spotlight,student quote,0,1495653615,1495734071,und
2306,12921,spotlight,Graduation,0,1495826229,1495828440,und
2311,12951,spotlight,Graduation Selections  2017,0,1496350786,1496354130,und
2316,12966,spotlight,Photographs from the Teaching Awards Celebration,0,1496425671,1496429806,und
2321,13101,spotlight,Group photo from panel at career fair.,0,1496946292,1497112744,und
2326,13086,spotlight,Faculty pose at the celebration,0,1496957225,1497052406,und
2331,13171,spotlight,MEPN receive their white coats,0,1498086060,1498091786,und
